title,location,type,bed,bath,area,price
1500 Square Feet Fully Furnished Apartment For Rent In Niketan,"Block A, Niketan, Dhaka",Apartment,3,3,"1,500 sqft",55 Thousand
"2200 Sq. Ft. apartment for rent is located at Uttara, near to HSBC Bangladesh Uttara Office","Sector 4, Uttara, Dhaka",Apartment,3,4,"2,200 sqft",1 Lakh
2630 Square Feet Apartment With Refreshing Rooms Is For Rent In Uttara-12,"Sector 12, Uttara, Dhaka",Apartment,4,3,"2,630 sqft",80 Thousand
Take A Quick Look At This 1475 Sq Ft Flat For Rent In Uttara 4 Near To Uttara 4 Sector Jame Masjid .,"Sector 4, Uttara, Dhaka",Apartment,3,3,"1,475 sqft",32 Thousand
Well Developed Fully Furnished Flat Is Up For Rent In Zakir Hossain Road Nearby Lions General Hospital,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,4,4,"2,200 sqft",1 Lakh
Grab This Convenient 1500 Sq Ft Flat For Rent In Bashundhara Residential Area,"Block H, Bashundhara R-A, Dhaka",Apartment,3,3,"1,500 sqft",25 Thousand
A Nicely Planned 900 Sq Ft Flat Is Up For Rent In South Monipur,"South Monipur, Mirpur, Dhaka",Apartment,3,2,900 sqft,12 Thousand
"In South Khulshi, An Apartment Can Be Found For Rent Near Grameenphone Service Touch Point","Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,3,4,"2,000 sqft",90 Thousand
A Convenient 1200 Sq Ft Residential Home Is Prepared To Be Rented At Bakalia,"Chaktai, 19 No. South Bakalia Ward, Bakalia, Chattogram",Apartment,4,4,"1,200 sqft",22 Thousand
"1115 Sq Ft Apartment Is For Rent In Mirpur, 1st Colony","1st Colony, Mirpur, Dhaka",Apartment,3,3,"1,115 sqft",18 Thousand
Looking For A Great 1700 Sq. Ft Home To Rent In Sugandha Residential Area? Check This One,"Sugandha Residential Area, Panchlaish, Chattogram",Apartment,3,3,"1,700 sqft",28 Thousand
An Attractive Apartment Is Available For Rent Covering An Area Of 3000 Sq Ft In Gulshan 2.,"Gulshan 2, Gulshan, Dhaka",Apartment,4,4,"3,000 sqft",2.3 Lakh
This Flat Of 1875 Sq Ft For Rent Is Available In Uttara Sector 10,"Sector 10, Uttara, Dhaka",Apartment,3,4,"1,875 sqft",70 Thousand
"At Mohammadi Housing Ltd, A 1500 Sq Ft Well Fitted Residential Property Is On Rent","Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,3,3,"1,500 sqft",24 Thousand
You can move into this well planned and comfortable 1300 SQ FT Residential flat in Mirpur for rent,"1st Colony, Mirpur, Dhaka",Apartment,3,3,"1,300 sqft",16 Thousand
Convenient Apartment for Rent in Bashundhara R-A nearby NSU,"Block C, Bashundhara R-A, Dhaka",Apartment,4,5,"3,536 sqft",79 Thousand
Make Your Residence In A 900 Sq Ft Rental Home At 19 No. South Bakalia Ward,"Chaktai, 19 No. South Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,900 sqft,18 Thousand
Take A Quick Look At This 1350 Sq Ft Flat For Rent In South Khulshi,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,350 sqft",30 Thousand
"Located At Bakalia, 900 Sq Ft Residential Flat Is Quite Accessible For Owning","Chaktai, 19 No. South Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,900 sqft,18 Thousand
In Uttara 2700 Sq Ft Flat Is Available For Rent Which Is Now Close To Lake Terrace,"Sector 7, Uttara, Dhaka",Apartment,4,4,"2,700 sqft",1 Lakh
Ready Flat 2700 Sq Ft Is Now For Rent In Gulshan 1 Nearby Analyzen Bangladesh Ltd.,"Gulshan 1, Gulshan, Dhaka",Apartment,4,4,"2,700 sqft",75 Thousand
Live In Solace At This 1900 Sq Ft Duplex Apartment For Rent In Uttara-10,"Sector 10, Uttara, Dhaka",Duplex,3,3,"1,900 sqft",50 Thousand
See This Lovely 3 Bedroom Flat For Rent In Mirpur 10,"Section 10, Mirpur, Dhaka",Apartment,3,3,"1,450 sqft",19 Thousand
"Deal With This 1050 Sq Ft Flat Up For Rent In Mirpur, North Kazipara","North Kazipara, Mirpur, Dhaka",Apartment,3,2,"1,050 sqft",17 Thousand
"1050 Sq Ft Amazing Flat For Rent In North Kazipara, Mirpur","North Kazipara, Mirpur, Dhaka",Apartment,3,2,"1,050 sqft",16 Thousand
We Have A 2500 Sq Ft Ready Flat For Rent In Uttara Nearby Islamabad Jame Masjid,"Ranavola Avenue, Sector 10, Uttara, Dhaka",Apartment,4,5,"2,500 sqft",40 Thousand
"At Bashundhara R-A, Nice Flat Up For Rent Near Daily Shopping","Block K, Bashundhara R-A, Dhaka",Apartment,2,3,"1,200 sqft",18 Thousand
"1200 Sq Ft Nice Flat For Rent At East Kazipara, Mirpur","East Kazipara, Mirpur, Dhaka",Apartment,3,3,"1,200 sqft",20 Thousand
"Check This Nice Duplex For Rent At Bagmoniram Nearby Institute Of Fine Arts, University Of Chittagong","15 No. Bagmoniram Ward, Chattogram",Duplex,4,4,"4,100 sqft",55 Thousand
A Well-constructed 1120 Sq Ft Flat Is Ready For Rent In Mirpur Close To Water Tank,"Block C, Section 2, Mirpur, Dhaka",Apartment,3,3,"1,120 sqft",20 Thousand
A well-constructed 700 SQ FT apartment is ready to Rent in Ibrahimpur,"North Ibrahimpur, Ibrahimpur, Dhaka",Apartment,2,2,700 sqft,12 Thousand
This 1100 Sq Ft Well Defined Flat Is Now Vacant To Rent In West Rampura,"West Rampura, Rampura, Dhaka",Apartment,3,3,"1,100 sqft",20 Thousand
Your New 1250 Sq Ft Home Is Waiting For You In This Lovely Apartment For Rent At Pc Culture Housing,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,3,3,"1,250 sqft",22 Thousand
1393 Sq Ft Apartment Is Ready For Rent At Badda,"Uttar Badda, Badda, Dhaka",Apartment,3,3,"1,393 sqft",17 Thousand
"An Apartment Is Ready For Rent At Bashundhara R-a , Near Madinatul Ulum Madrasa Masjid.","Block J, Bashundhara R-A, Dhaka",Apartment,3,2,"1,000 sqft",18 Thousand
Get Comfortable In A 3000 Sq Ft Flat For Rent In Gulshan,"Gulshan 2, Gulshan, Dhaka",Apartment,3,3,"3,000 sqft",1.35 Lakh
"This Beautiful 1600 Square Feet Apartment Is Waiting For Rent At Sector 12, Uttara","Sector 12, Uttara, Dhaka",Apartment,3,4,"1,600 sqft",45 Thousand
"Visit This 1200 Sq Ft Flat For Rent In East Kazipara, Mirpur","East Kazipara, Mirpur, Dhaka",Apartment,3,3,"1,200 sqft",19 Thousand
In The Fine Location Of Gulshan A 2700 Sq Ft Apartment Is All Set For Rent Near To United Commercial Bank Limited Head Office,"Gulshan 1, Gulshan, Dhaka",Apartment,3,3,"2,700 sqft",1.1 Lakh
Ready Flat 1665 Sq Ft Is Now For Rent In Uttara Nearby Asian University Of Bangladesh,"Sector 7, Uttara, Dhaka",Apartment,3,3,"1,665 sqft",40 Thousand
Consider moving into this apartment of 1150 SQ FT in Bashundhara R-A for rent,"Block I, Bashundhara R-A, Dhaka",Apartment,3,3,"1,150 sqft",20 Thousand
Well Designed 800 Sq Ft Residential Flat Is There For Rent At Middle Monipur,"Middle Monipur, Mirpur, Dhaka",Apartment,2,2,800 sqft,11 Thousand
A well-featured rental 900 SQ FT flat is ready for you to own at Bakalia,"Chaktai, 19 No. South Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,900 sqft,18 Thousand
This Amazing Flat In Uttara-3 Is Up For Rent With An Area Of 2500 Sq. ft,"Sector 3, Uttara, Dhaka",Apartment,3,3,"2,500 sqft",45 Thousand
"This Three-Bedroom Beautiful Apartment Is Waiting For Rent in Uttara, Sector 3","Sector 3, Uttara, Dhaka",Apartment,3,3,"2,000 sqft",45 Thousand
Ready Flat For Rent In Bashundhara R/a Nearby Safwan Park,"Block G, Bashundhara R-A, Dhaka",Apartment,3,3,"1,550 sqft",36 Thousand
"Reside conveniently in this well constructed 880 SQ FT flat for rent in Badda, near Badda General Hospital","Uttar Badda, Badda, Dhaka",Apartment,2,2,880 sqft,13 Thousand
Make This 1800 Sq Ft Rental Family Flat Yours Located At Bashundhara R/a Near To Apollo Hospital,"Block G, Bashundhara R-A, Dhaka",Apartment,3,4,"1,800 sqft",25 Thousand
Get comfortable in a 1200 SQ FT flat for rent in Ibrahimpur,"North Ibrahimpur, Ibrahimpur, Dhaka",Apartment,3,3,"1,200 sqft",18 Thousand
"To Reside In Nikunja 2, You Can Rent This Beautiful And Spacious Flat","Nikunja 2, Nikunja, Dhaka",Apartment,3,3,"1,500 sqft",60 Thousand
Ready 1000 SQ FT flat is now to Rent in Double Mooring,"25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,2,2,"1,000 sqft",15 Thousand
"To Reside In A Beautiful Apartment, Visit This 1920 Sq Ft Rental Property In Banani","Banani, Dhaka",Apartment,3,4,"1,920 sqft",55 Thousand
An Impressive Apartment Of 2150 Sq. ft Is Up To Rent In Gulshan 2.,"Gulshan 2, Gulshan, Dhaka",Apartment,3,3,"2,150 sqft",85 Thousand
Be The Resident Of This 1300 Sq Ft Flat Vacant For Rent At Aftab Nagar,"Block E, Aftab Nagar, Dhaka",Apartment,3,3,"1,300 sqft",22 Thousand
"1490 Square Feet Apartment Is Ready For Rent At Uttara, Sector 11","Sector 11, Uttara, Dhaka",Apartment,3,3,"1,490 sqft",22 Thousand
"At Bashundhara R-a Flat For Rent Close To Nsu, Block F","Block F, Bashundhara R-A, Dhaka",Apartment,3,3,"1,400 sqft",25 Thousand
A Moderate 1250 Sq Ft Flat Is Up For Rent In Dhanmondi Near Stamford College,"Dhanmondi, Dhaka",Apartment,3,3,"1,250 sqft",30 Thousand
"1400 Sq Ft Apartment Is For Rent In Mirpur, 1st Colony","1st Colony, Mirpur, Dhaka",Apartment,3,3,"1,400 sqft",16 Thousand
"An Apartment Is Ready For Rent At Mohammadi Housing LTD. , Near Hazrat Abdul Kader Jilani (Rh:) Jame Masjid","Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,3,3,"1,200 sqft",18 Thousand
"Checkout This 1100 Sq Ft Flat For Rent In Mirpur, North Kazipara","North Kazipara, Mirpur, Dhaka",Apartment,3,2,"1,100 sqft",17 Thousand
Pursue This 1375 Sq Ft Flat For Rent In Dhanmondi,"Dhanmondi, Dhaka",Apartment,3,2,"1,375 sqft",30 Thousand
This 950 Sq Ft Well Defined Flat Is Now Vacant To Rent In Ibrahimpur,"Ibrahimpur, Dhaka",Apartment,3,2,950 sqft,16 Thousand
Bright And Cozy Apartment Featuring 1200 Sq Ft Space Is Up For Rent In Mohammadi Housing Ltd,"Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,3,3,"1,200 sqft",20 Thousand
A 2400 Square Feet Furnished Apartment Is Ready For Rent At Uttara Sector 4,"Sector 4, Uttara, Dhaka",Apartment,4,4,"2,400 sqft",75 Thousand
A 1555 SFT Flat Is Ready For Rent In Middle Badda,"Middle Badda, Badda, Dhaka",Apartment,3,3,"1,555 sqft",30 Thousand
2400 Square Feet Nicely Furnished Apartment Is Up For Rent At Uttara - 4.,"Sector 4, Uttara, Dhaka",Apartment,4,4,"2,400 sqft",75 Thousand
This Home of 2500 Sq Ft full well furnished is available For Rent In Khulshi,"South Khulshi, Khulshi, Chattogram",Apartment,4,4,"2,500 sqft",70 Thousand
"1450 Sq Ft Apartment Is For Rent In Mirpur, 1st Colony","1st Colony, Mirpur, Dhaka",Apartment,3,3,"1,450 sqft",20 Thousand
Use Your Time Perfectly To Take This 1050 Sq Ft Flat For Rent In New Market,"New Market, Dhaka",Apartment,2,2,"1,050 sqft",30 Thousand
Offering You A Spacious 2500 Sq Ft Flat For Rent In Gulshan Near To Gulshan Pink City,"Gulshan 2, Gulshan, Dhaka",Apartment,3,3,"2,500 sqft",1.1 Lakh
Tastefully Designed This 750 Sq Ft Flat Is Now Vacant For Rent In Middle Monipur,"Middle Monipur, Mirpur, Dhaka",Apartment,2,2,750 sqft,11 Thousand
Next To Baitul Shako Masjid This Ready And Comfortable Apartment Is Up For Rent At West Shewrapara.,"West Shewrapara, Mirpur, Dhaka",Apartment,3,3,"1,350 sqft",16 Thousand
Fairly Large Apartment Of 2000 Sq Ft Is Ready For Rent In Gulshan 2,"Gulshan 2, Gulshan, Dhaka",Apartment,3,3,"2,000 sqft",80 Thousand
"1900 Sq Ft 3- Bedroom Flat For Rent In Uttara, Sector 10.","Sector 10, Uttara, Dhaka",Apartment,3,4,"1,900 sqft",35 Thousand
Be the dweller of this 1700 SQ FT residential home vacant for rent at Lalmatia,"Lalmatia, Dhaka",Apartment,3,4,"1,700 sqft",25 Thousand
We Have A Ready Flat For Rent In Bashundhara R-a Nearby Modinatul Ulum Madrasa Mosjid,"Block K, Bashundhara R-A, Dhaka",Apartment,2,2,"1,200 sqft",18 Thousand
North Ibrahimpur Is Granting A Lovely Flat For Rent Which Is 850 Sq Ft,"Ibrahimpur, Dhaka",Apartment,2,2,850 sqft,14 Thousand
Discover Your Place in a 1200 Sq Ft Structurally Well Built Flat for Rent in Kathalbagan,"Kathalbagan, Dhaka",Apartment,3,2,"1,200 sqft",25 Thousand
A Decent Flat Which Is Near To International Hope School Bangladesh Is Now For Rent In Uttara,"Sector 4, Uttara, Dhaka",Apartment,3,3,"1,550 sqft",35 Thousand
"Well Defined Flat Of 650 Sq Ft In Mirpur 6, Is Available For Rent","Block C, Section 6, Mirpur, Dhaka",Apartment,2,1,650 sqft,12 Thousand
"Now You Can Afford To Dwell Well, Check This Apartment Which Is Vacant For Rent In Elephant Road.","New Market, Dhaka",Apartment,3,3,"1,400 sqft",35 Thousand
1100 Sq Ft Flat For Rent In Nobodoy Housing Society,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",Apartment,3,3,"1,100 sqft",18 Thousand
"Move in and inhabit this 1375 SQ FT properly constructed flat for rent in Modhubag, near Rupali Bank Limited.","Modhubag, Boro Maghbazar, Maghbazar, Dhaka",Apartment,2,2,"1,375 sqft",24 Thousand
This Home In Bashundhara R-A Is Up For Rent In A Wonderful Neighborhood Beside To Chapra Masjid,"Block F, Bashundhara R-A, Dhaka",Apartment,2,2,700 sqft,17 Thousand
We Bring You An Excellent Flat Of 1000 Sq Ft For Rent In Bashundhara Block F.,"Block F, Bashundhara R-A, Dhaka",Apartment,2,2,"1,000 sqft",18 Thousand
A Nicely Planned Flat Is Up For Rent In Niketan Nearby London International School,"Block A, Niketan, Dhaka",Apartment,3,3,"1,300 sqft",25 Thousand
Take This Residential Semi Furnished Flat For Rent At Khulshi Hill R/a Area Nearby Sultania Islamic Academy,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,2,2,900 sqft,20 Thousand
Check This 1380 Sq. Ft Apartment Which Is Up To Rent At Rampura Near To Ayub Bag Jame Masjid,"East Rampura, Rampura, Dhaka",Apartment,3,3,"1,380 sqft",18 Thousand
"Modern Home For Residents | 1300 Sq Ft Flat In Bashundhara R-A, Block J Is Up For Rent.","Block J, Bashundhara R-A, Dhaka",Apartment,3,3,"1,300 sqft",28 Thousand
For Rental purpose well-constructed 600 SQ FT flat is now up to Rent in Middle Badda,"Middle Badda, Badda, Dhaka",Apartment,2,2,600 sqft,20 Thousand
Plan To Move In This 1350 Sq Ft Flat Which Is Up To Rent In Banasree,"Block G, Banasree, Dhaka",Apartment,3,3,"1,350 sqft",25 Thousand
Residential Apartment Is On Rent In Gulshan 1 Nearby Sea Breeze International School,"Gulshan 1, Gulshan, Dhaka",Apartment,3,3,"2,015 sqft",70 Thousand
Full Furnished Apartment Of 2400 Square Feet Is Available For Rent At Uttara- 4,"Sector 4, Uttara, Dhaka",Apartment,4,4,"2,400 sqft",75 Thousand
2400 Square Feet Full Furnished Apartment Is Vacant For Rent At Uttara Sec - 4.,"Sector 4, Uttara, Dhaka",Apartment,4,4,"2,400 sqft",75 Thousand
"At Boshoty Housing, Flat For Rent Near To Borobag Jame Masjid","Boshoty Housing, Borobag, Section 2, Mirpur, Dhaka",Apartment,3,3,"1,050 sqft",15 Thousand
"If You Desire To Live In Baridhara, You Can Check This 2300 Sq Ft Residence, Which Is Up For Rent","Block K, Baridhara, Dhaka",Apartment,3,3,"2,300 sqft",75 Thousand
"At Bashundhara, Nice Flat Up For Rent Near Bashundhara Eye Hospital","Block E, Bashundhara R-A, Dhaka",Apartment,3,3,"1,400 sqft",25 Thousand
You Can Take Rent This Lovely Apartment Of 1200 Sq Ft To Live A Relaxed Life At Elephant Road,"Hatirpool, Dhaka",Apartment,2,3,"1,200 sqft",25 Thousand
Gulshan 2 Is Offering You A 2200 Sq Ft Full Furnished Apartment For Rent,"Gulshan 2, Gulshan, Dhaka",Apartment,3,3,"2,200 sqft",1.25 Lakh
2400 square feet residential full furnished apartment for rent at Uttara,"Sector 4, Uttara, Dhaka",Apartment,4,4,"2,400 sqft",75 Thousand
1550 Square Feet Apartment Is For Rent In The Serene Location Of Uttara-13,"Sector 13, Uttara, Dhaka",Apartment,3,3,"1,550 sqft",50 Thousand
An Excellent Apartment Of 1400 Sq Ft Is Waiting To Be Rented In Bashundhara R-a,"Block F, Bashundhara R-A, Dhaka",Apartment,3,3,"1,400 sqft",25 Thousand
Flat For Rent In Mirpur Section 6 Near Banarasi Palli,"Block D, Section 6, Mirpur, Dhaka",Apartment,2,2,600 sqft,13.5 Thousand
A Convenient 900 Sq Ft Residential Apartment Is Prepared To Be Rented At Uttara 12,"Sector 12, Uttara, Dhaka",Apartment,2,2,900 sqft,19 Thousand
"900 Sq Ft Flat Is Ready For Rent In PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur, Dhaka",Apartment,2,2,900 sqft,15 Thousand
"A 750 Sq Ft Home Is Available For Rent At Nikunja, With An Affordable Deal","Nikunja 2, Nikunja, Dhaka",Apartment,2,2,750 sqft,20 Thousand
"2 Bed Apartment Is Waiting For Rent At Mohammadi Housing Ltd, Near Bashbari Primary School","Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,2,2,750 sqft,13 Thousand
"Flat for Rent in Uttara close to Uttara Thana, with amazing home features","Sector 7, Uttara, Dhaka",Apartment,3,4,"2,100 sqft",60 Thousand
Apartment Is For Rent At East Hazipara Nearby Janata Bank Limited,"Bou Bazar, East Hazipara, East Rampura, Rampura, Dhaka",Apartment,3,3,"1,050 sqft",20 Thousand
Flat For Rent In Mirpur Near Life Aid Specialized Hospital Pvt. Ltd.,"East Kazipara, Mirpur, Dhaka",Apartment,1,2,700 sqft,9 Thousand
This Rental Apartment Of 1250 Sq Ft Offers Comfort And All Benefits Of Living At Bashundhara R-a,"Block J, Bashundhara R-A, Dhaka",Apartment,2,2,"1,250 sqft",20 Thousand
"Perfect For A Family Home, This Flat Of 600 Sq Ft Is Up For Rent In South Monipur","South Monipur, Mirpur, Dhaka",Apartment,2,2,600 sqft,9.5 Thousand
"We Are Pleased To Offer This Bright And Beautiful 650 Sq Ft Flat For Rent, Located In Mirpur 12.","Block E, Section 12, Mirpur, Dhaka",Apartment,2,2,650 sqft,12 Thousand
We Bring You A Beautiful And Distinct Apartment For Rent In Uttara 7 Having Situated In A Pleasant Location.,"Sector 7, Uttara, Dhaka",Apartment,3,4,"1,610 sqft",50 Thousand
For Rental Purpose 1805 Sq Ft Home Is Now Up To Rent In Cantonment,"Cantonment, Dhaka",Apartment,3,3,"1,805 sqft",25 Thousand
This 1600 Sq Ft Apartment Is Ready For Rent At 25 No. Rampur Ward,"25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,3,3,"1,600 sqft",40 Thousand
"An Adequate And Cozy 1900 Sq. Ft Flat Is Ready For Rent At Uttara , Near Uttara Central Masjid.","Sector 4, Uttara, Dhaka",Apartment,3,4,"1,900 sqft",60 Thousand
A Flat Which Is Near To Masjid Aat Takwah Is Now For Rent In Mohammadpur,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,2,2,750 sqft,16 Thousand
1200 SQ FT flat near Chandgaon Jame Masjid for Rent in Chandgaon,"B-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,200 sqft",22 Thousand
A 3000 Sq Ft Flat For Rent In Khulshi Near Khulshi Jame Masjid,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,4,"3,000 sqft",60 Thousand
"Amazing 1100 Sq Ft Flat Is Now Available For rent In Mirpur, 1st Colony","1st Colony, Mirpur, Dhaka",Apartment,3,2,"1,100 sqft",16 Thousand
"Make Your Residence In A 900 Sq Ft Rental Home At Uttara, Road No 7","Sector 12, Uttara, Dhaka",Apartment,2,2,900 sqft,19 Thousand
Check This 1100 Sq. Ft Apartment Up For Rent At South Monipur Very Near To Molla Para Wasa Pump,"South Monipur, Mirpur, Dhaka",Apartment,3,2,"1,100 sqft",18 Thousand
See This Apartment Which Is Up For Rent In Uttara Near Daffodil International University.,"Sector 3, Uttara, Dhaka",Apartment,3,2,"1,650 sqft",35 Thousand
"Smartly priced 1050 SQ FT flat, that you should check in Borobag","Boshoty Housing, Borobag, Section 2, Mirpur, Dhaka",Apartment,3,2,"1,050 sqft",16 Thousand
1500 SQ FT full furnished  flat is now to rent in Uttara near to Uttara Park,"Sector 3, Uttara, Dhaka",Apartment,3,4,"1,500 sqft",50 Thousand
Perfectly Structured 1600 Sq. Ft Apartment For rent In Bashundhara R-A Near Basundhara Residential Area Puja Mondop,"Block H, Bashundhara R-A, Dhaka",Apartment,3,3,"1,600 sqft",24 Thousand
1680 SQ FT flat near Radical Hospital for Rent in Uttara,"Sector 12, Uttara, Dhaka",Apartment,4,3,"1,680 sqft",30 Thousand
"An Apartment At Uttara, Near One Bank Limited | Atm Booth Up For Rent.","Sector 12, Uttara, Dhaka",Apartment,3,3,"1,700 sqft",30 Thousand
Apartment With A View Is Up For Rent Nearby Uttara 12 No. Sector park,"Sector 12, Uttara, Dhaka",Apartment,2,2,950 sqft,20 Thousand
"An Apartment Is Ready For Rent At North Ibrahimpur, Near Ibrahimpur Salauddin Shikkhaloy","North Ibrahimpur, Ibrahimpur, Dhaka",Apartment,2,2,"1,050 sqft",16 Thousand
A Fine Flat Is Now For Rent Which Is In Mohammadpur Near Mohammadpur Police Station,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",Apartment,2,3,800 sqft,15 Thousand
"Smartly Priced 1600 Sq Ft Flat, That You Should Check In Uttara 11","Sector 11, Uttara, Dhaka",Apartment,4,4,"1,600 sqft",30 Thousand
"Check This Flat For Rent Which Is 2250 Sq Ft, Located In Mirpur Dohs","Avenue 7, Mirpur DOHS, Mirpur, Dhaka",Apartment,4,4,"2,250 sqft",40 Thousand
An Attractive Apartment Is Up For Rent Covering An Area Of 2500 Sq Ft At Gulshan 2 Near Gulshan Lake Park,"Gulshan 2, Gulshan, Dhaka",Apartment,3,3,"2,500 sqft",1.15 Lakh
For You 850 Sq Ft Flat Is Now For Rent Near To Baitur Rob Jame Masjid In Mirpur,"East Monipur, Mirpur, Dhaka",Apartment,2,2,850 sqft,12 Thousand
1350 Sq. Ft Apartment Is Now Ready For Rent Nasirabad Properties Area.,"Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,3,3,"1,350 sqft",25 Thousand
Apartment for Rent in Dhanmondi close to Ideal College,"Dhanmondi, Dhaka",Apartment,4,4,"2,960 sqft",75 Thousand
Find 1600 Sq Ft Nice Flat Available To Rent In Uttara,"Sector 5, Uttara, Dhaka",Apartment,3,4,"1,600 sqft",40 Thousand
1800 Sq Ft Nice Apartment Is For Rent In West Dhanmondi,"Dhanmondi, Dhaka",Apartment,3,4,"1,800 sqft",55 Thousand
Get This 800 Sq Ft Wonderful Flat In Azimpur Is Available For Rent,"Azimpur, Lalbagh, Dhaka",Apartment,2,2,800 sqft,19 Thousand
Well Planned Apartment for Rent in Gulshan near City Bank,"Gulshan 1, Gulshan, Dhaka",Apartment,3,3,"2,600 sqft",70 Thousand
"In This Serene Neighborhood Of Mirpur 6, A Flat Is Up For Rent Which Is 700 Sq Ft","Block D, Section 6, Mirpur, Dhaka",Apartment,2,2,700 sqft,13 Thousand
"Start a new home, in this 650 SQ FT apartment for rent in Mirpur 10","Block D, Section 10, Mirpur, Dhaka",Apartment,2,2,650 sqft,14 Thousand
This 3 Bedroom Apartment Is Now Vacant For Rent Close To PC Culture Housing Jame Moshjid .,"PC Culture Housing, Mohammadpur, Dhaka",Apartment,3,3,"1,200 sqft",20 Thousand
A Beautiful 850 Sq Ft Apartment Is Up For Rent At North Kafrul,"Kafrul, Dhaka",Apartment,2,2,850 sqft,13 Thousand
"Well Developed Flat Is Up For Rent In Gulshan 1, Nearby Gulshan Post Office","Gulshan 1, Gulshan, Dhaka",Apartment,3,3,"2,250 sqft",55 Thousand
"A Nice House Is Available For Rent Near By Mirpur Section 13 Central Masjid, With An Affordable Deal.","Block B, Section 13, Mirpur, Dhaka",Apartment,2,2,650 sqft,14 Thousand
